event_type,element_id,timestamp,url,phase,username,hover_duration_ms,pasted_content,message,group,highlighted_text
source-link-hover-end,source-link,2026-06-27 13:38:45.856974+00,https://de.wikipedia.org/wiki/Sol_(Tag),part2,p_17,167.0,,,,
source-link-click,source-link,2026-06-27 13:34:21.75795+00,https://plato.stanford.edu/entries/decision-theory/,part2,p_17,,,,,
paste,chat-input,2026-06-27 13:14:55.505964+00,,part1,p_17,,"Beschreibe das Jevons-Paradoxon im Bereich der Energieeffizienz.
",,,
source-link-hover-end,source-link,2026-06-27 13:34:44.504506+00,https://de.wikipedia.org/wiki/Ellsberg-Paradoxon,part2,p_17,17.0,,,,
source-link-hover-end,source-link,2026-06-27 13:42:15.317273+00,https://www.gps.gov/,part2,p_17,24.0,,,,
source-link-hover-start,source-link,2026-06-27 13:22:34.441961+00,https://de.wikipedia.org/wiki/Venus_(Planet),part1,p_17,,,,,
message-send,chat-input,2026-06-27 13:40:07.928461+00,,part2,p_17,,,Welches Produkt wurde 1974 als erstes mit einem UPC-Barcode an einer Supermarktkasse gescannt?,,
source-link-click,source-link,2026-06-27 13:38:52.5719+00,https://mars.nasa.gov/,part2,p_17,,,,,
source-link-hover-start,highlight-source-seg_185,2026-06-27 13:20:01.11434+00,https://science.nasa.gov/venus/venus-facts/,part1,p_17,,,,,
source-link-click,source-link,2026-06-27 13:34:15.302176+00,https://de.wikipedia.org/wiki/Ellsberg-Paradoxon,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:34:21.636921+00,https://plato.stanford.edu/entries/decision-theory/,part2,p_17,,,,,
source-link-click,source-link,2026-06-27 13:09:49.601094+00,https://www.bipm.org/en/measurement-units/si-defining-constants,part1,p_17,,,,,
message-send,chat-input,2026-06-27 13:29:51.942505+00,,part2,p_17,,,"Welcher Druck entspricht einer Standardatmosphäre?
*",,
message-send,chat-input,2026-06-27 13:38:21.833107+00,,part2,p_17,,,"Wie lange dauert ein mittlerer Sonnentag auf dem Mars, ein sogenannter Sol?",,
source-link-hover-end,source-link,2026-06-27 13:10:43.890805+00,https://www.bipm.org/en/measurement-units/base-units,part1,p_17,18.0,,,,
source-link-click,source-link,2026-06-27 13:37:08.490745+00,https://www.britannica.com/topic/Halleys-Comet,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:34:21.995862+00,https://plato.stanford.edu/entries/decision-theory/,part2,p_17,529.0,,,,
source-link-hover-start,source-link,2026-06-27 13:24:39.643031+00,https://de.wikipedia.org/wiki/Hubble-Weltraumteleskop,part1,p_17,,,,,
source-link-click,source-link,2026-06-27 13:30:15.329301+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:40:20.901996+00,https://de.wikipedia.org/wiki/Universal_Product_Code,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:22:28.046152+00,https://de.wikipedia.org/wiki/Venus_(Planet),part1,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:22:55.098766+00,https://de.wikipedia.org/wiki/Mond,part1,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:42:15.079244+00,https://www.gps.gov/,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:26:09.329832+00,https://de.wikipedia.org/wiki/Marianengraben,part1,p_17,181.0,,,,
source-link-hover-end,source-link,2026-06-27 13:31:02.121545+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,200.0,,,,
source-link-hover-start,source-link,2026-06-27 13:30:35.841666+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,,,,,
logout,chat-logout-button,2026-06-27 13:46:57.977914+00,,part2,p_17,,,,3.0,
source-link-hover-start,source-link,2026-06-27 13:38:46.298343+00,https://mars.nasa.gov/,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:29:08.911005+00,https://de.wikipedia.org/wiki/Avogadro-Konstante,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:29:49.437256+00,https://de.wikipedia.org/wiki/Avogadro-Konstante,part2,p_17,251.0,,,,
message-send,chat-input,2026-06-27 13:28:41.355109+00,,part2,p_17,,,Welcher exakte Zahlenwert gehört seit der SI-Neudefinition zur Avogadro-Konstante?,,
source-link-hover-end,source-link,2026-06-27 13:08:37.48584+00,https://de.wikipedia.org/wiki/Plancksches_Wirkungsquantum,part1,p_17,3070.0,,,,
source-link-hover-start,source-link,2026-06-27 13:34:14.881043+00,https://plato.stanford.edu/entries/decision-theory/,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:29:10.11043+00,https://de.wikipedia.org/wiki/Avogadro-Konstante,part2,p_17,1215.0,,,,
source-link-hover-end,source-link,2026-06-27 13:26:35.93066+00,https://oceanexplorer.noaa.gov/,part1,p_17,2150.0,,,,
source-link-hover-start,source-link,2026-06-27 13:08:34.417985+00,https://de.wikipedia.org/wiki/Plancksches_Wirkungsquantum,part1,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:26:09.891285+00,https://de.wikipedia.org/wiki/Marianengraben,part1,p_17,,,,,
message-send,chat-input,2026-06-27 13:08:12.608272+00,,part1,p_17,,,Welcher exakte Zahlenwert definiert seit der SI-Neudefinition die Planck-Konstante h?,,
phase-advance,end-part1-button,2026-06-27 13:28:02.011505+00,,part1,p_17,,,,3.0,
paste,chat-input,2026-06-27 13:10:13.110243+00,,part1,p_17,,Welche Zahl gehört zur heutigen SI-Definition der Sekunde über Caesium-133?,,,
source-link-hover-start,source-link,2026-06-27 13:20:20.47191+00,https://de.wikipedia.org/wiki/Venus_(Planet),part1,p_17,,,,,
message-send,chat-input,2026-06-27 13:30:33.830737+00,,part2,p_17,,,bei wieviel Grad Celsius?,,
source-link-hover-end,source-link,2026-06-27 13:38:46.090927+00,https://de.wikipedia.org/wiki/Sol_(Tag),part2,p_17,313.0,,,,
source-link-hover-start,source-link,2026-06-27 13:30:15.074701+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:26:09.157404+00,https://oceanexplorer.noaa.gov/,part1,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:40:34.724486+00,https://www.gs1.org/standards/barcodes,part2,p_17,330.0,,,,
source-link-hover-end,source-link,2026-06-27 13:37:07.783546+00,https://www.britannica.com/topic/Halleys-Comet,part2,p_17,465.0,,,,
source-link-click,source-link,2026-06-27 13:25:54.077746+00,https://de.wikipedia.org/wiki/Marianengraben,part1,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:25:54.242105+00,https://de.wikipedia.org/wiki/Marianengraben,part1,p_17,546.0,,,,
source-link-hover-end,source-link,2026-06-27 13:30:54.038461+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,16.0,,,,
source-link-click,source-link,2026-06-27 13:31:53.477118+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:31:53.592277+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,558.0,,,,
source-link-hover-end,source-link,2026-06-27 13:10:44.345114+00,https://de.wikipedia.org/wiki/Sekunde,part1,p_17,549.0,,,,
source-link-hover-end,source-link,2026-06-27 13:34:14.981326+00,https://plato.stanford.edu/entries/decision-theory/,part2,p_17,100.0,,,,
source-link-hover-end,source-link,2026-06-27 13:42:14.961331+00,https://www.gps.gov/,part2,p_17,6623.0,,,,
paste,chat-input,2026-06-27 13:41:25.950309+00,,part2,p_17,,"Um wie viel gehen GPS-Satellitenuhren netto ungefähr pro Tag schneller als Uhren auf Meereshöhe, wenn relativistische Effekte berücksichtigt werden?",,,
message-send,chat-input,2026-06-27 13:41:26.147359+00,,part2,p_17,,,"Um wie viel gehen GPS-Satellitenuhren netto ungefähr pro Tag schneller als Uhren auf Meereshöhe, wenn relativistische Effekte berücksichtigt werden?",,
source-link-hover-end,source-link,2026-06-27 13:30:54.96796+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,306.0,,,,
source-link-hover-end,source-link,2026-06-27 13:31:02.495799+00,https://www.iso.org/standard/7472.html,part2,p_17,491.0,,,,
source-link-hover-start,source-link,2026-06-27 13:10:40.665021+00,https://de.wikipedia.org/wiki/Sekunde,part1,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:10:43.782285+00,https://de.wikipedia.org/wiki/Sekunde,part1,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:31:01.938218+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:40:34.530374+00,https://de.wikipedia.org/wiki/Universal_Product_Code,part2,p_17,100.0,,,,
source-link-click,source-link,2026-06-27 13:42:15.914914+00,https://de.wikipedia.org/wiki/Global_Positioning_System,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:38:45.705021+00,https://de.wikipedia.org/wiki/Sol_(Tag),part2,p_17,,,,,
message-send,chat-input,2026-06-27 13:36:49.704715+00,,part2,p_17,,,Wie lange dauert ein regulärer Umlauf des Halleyschen Kometen um die Sonne ungefähr?,,
source-link-hover-end,source-link,2026-06-27 13:34:20.555935+00,https://de.wikipedia.org/wiki/Ellsberg-Paradoxon,part2,p_17,5505.0,,,,
source-link-hover-start,source-link,2026-06-27 13:25:30.099747+00,https://de.wikipedia.org/wiki/Hubble-Weltraumteleskop,part1,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:14:54.608633+00,https://www.bipm.org/en/measurement-units/base-units,part1,p_17,,,,,
message-send,chat-input,2026-06-27 13:24:22.702353+00,,part1,p_17,,,Welchen Durchmesser hat der Primärspiegel des Hubble-Weltraumteleskops?,,
message-send,chat-input,2026-06-27 13:35:17.859252+00,,part2,p_17,,,beschreibe es in 3 sätze,,
source-link-click,source-link,2026-06-27 13:22:55.245175+00,https://de.wikipedia.org/wiki/Mond,part1,p_17,,,,,
source-link-click,source-link,2026-06-27 13:42:08.532788+00,https://www.gps.gov/,part2,p_17,,,,,
source-link-click,source-link,2026-06-27 13:40:34.659853+00,https://www.gs1.org/standards/barcodes,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:42:08.358306+00,https://www.gps.gov/,part2,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:40:21.316433+00,https://de.wikipedia.org/wiki/Universal_Product_Code,part2,p_17,616.0,,,,
paste,chat-input,2026-06-27 13:22:28.557754+00,,part1,p_17,,"Wie groß ist die durchschnittliche Entfernung zwischen Erde und Mond?
*",,,
source-link-hover-start,source-link,2026-06-27 13:38:52.328283+00,https://mars.nasa.gov/,part2,p_17,,,,,
source-link-click,source-link,2026-06-27 13:20:20.628568+00,https://de.wikipedia.org/wiki/Venus_(Planet),part1,p_17,,,,,
paste,chat-input,2026-06-27 13:19:40.798333+00,,part1,p_17,,Wie lange dauert eine vollständige Rotation der Venus um ihre eigene Achse ungefähr?,,,
source-link-hover-start,source-link,2026-06-27 13:37:40.963892+00,https://de.wikipedia.org/wiki/Halleyscher_Komet,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:34:21.401011+00,https://de.wikipedia.org/wiki/Ellsberg-Paradoxon,part2,p_17,,,,,
message-send,chat-input,2026-06-27 13:25:32.605041+00,,part1,p_17,,,Wie tief ist das Challenger Deep im Marianengraben ungefähr?,,
source-link-hover-start,highlight-source-seg_153,2026-06-27 13:16:23.1746+00,https://de.wikipedia.org/wiki/Jevons-Paradoxon,part1,p_17,,,,,
message-send,chat-input,2026-06-27 13:14:55.930661+00,,part1,p_17,,,Beschreibe das Jevons-Paradoxon im Bereich der Energieeffizienz.,,
source-link-hover-start,source-link,2026-06-27 13:34:15.03781+00,https://de.wikipedia.org/wiki/Ellsberg-Paradoxon,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:09:49.232654+00,https://www.bipm.org/en/measurement-units/si-defining-constants,part1,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:10:03.410083+00,https://www.bipm.org/en/measurement-units/si-defining-constants,part1,p_17,14171.0,,,,
source-link-click,source-link,2026-06-27 13:26:09.427736+00,https://oceanexplorer.noaa.gov/,part1,p_17,,,,,
login,login-form-submit,2026-06-27 13:06:25.611156+00,,part1,p_17,,,,3.0,
paste,chat-input,2026-06-27 13:28:41.21251+00,,part2,p_17,,Welcher exakte Zahlenwert gehört seit der SI-Neudefinition zur Avogadro-Konstante?,,,
source-link-hover-end,source-link,2026-06-27 13:26:33.200897+00,https://oceanexplorer.noaa.gov/,part1,p_17,23823.0,,,,
source-link-click,source-link,2026-06-27 13:29:09.885481+00,https://de.wikipedia.org/wiki/Avogadro-Konstante,part2,p_17,,,,,
message-send,chat-input,2026-06-27 13:19:40.98027+00,,part1,p_17,,,Wie lange dauert eine vollständige Rotation der Venus um ihre eigene Achse ungefähr?,,
source-link-click,source-link,2026-06-27 13:38:46.006829+00,https://de.wikipedia.org/wiki/Sol_(Tag),part2,p_17,,,,,
paste,chat-input,2026-06-27 13:38:21.602903+00,,part2,p_17,,"Wie lange dauert ein mittlerer Sonnentag auf dem Mars, ein sogenannter Sol?",,,
source-link-hover-start,highlight-source-seg_153,2026-06-27 13:15:36.482373+00,https://de.wikipedia.org/wiki/Jevons-Paradoxon,part1,p_17,,,,,
source-link-hover-end,highlight-source-seg_151,2026-06-27 13:24:21.851073+00,https://science.nasa.gov/moon/facts/,part1,p_17,18.0,,,,
source-link-hover-start,source-link,2026-06-27 13:40:34.589227+00,https://www.gs1.org/standards/barcodes,part2,p_17,,,,,
source-link-click,source-link,2026-06-27 13:24:39.762291+00,https://de.wikipedia.org/wiki/Hubble-Weltraumteleskop,part1,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:34:20.923884+00,https://de.wikipedia.org/wiki/Ellsberg-Paradoxon,part2,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:26:09.346218+00,https://oceanexplorer.noaa.gov/,part1,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:38:51.775612+00,https://mars.nasa.gov/,part2,p_17,5476.0,,,,
source-link-hover-end,source-link,2026-06-27 13:38:52.818776+00,https://mars.nasa.gov/,part2,p_17,533.0,,,,
source-link-hover-end,source-link,2026-06-27 13:22:28.064973+00,https://de.wikipedia.org/wiki/Venus_(Planet),part1,p_17,17.0,,,,
source-link-hover-end,source-link,2026-06-27 13:22:32.346356+00,https://de.wikipedia.org/wiki/Venus_(Planet),part1,p_17,16.0,,,,
source-link-hover-start,highlight-source-seg_151,2026-06-27 13:24:21.847966+00,https://science.nasa.gov/moon/facts/,part1,p_17,,,,,
source-link-hover-start,source-link,2026-06-27 13:22:32.153487+00,https://de.wikipedia.org/wiki/Venus_(Planet),part1,p_17,,,,,
source-link-hover-end,source-link,2026-06-27 13:22:55.497458+00,https://de.wikipedia.org/wiki/Mond,part1,p_17,601.0,,,,
source-link-hover-end,source-link,2026-06-27 13:22:34.46068+00,https://de.wikipedia.org/wiki/Venus_(Planet),part1,p_17,17.0,,,,
source-link-hover-end,source-link,2026-06-27 13:25:30.128175+00,https://de.wikipedia.org/wiki/Hubble-Weltraumteleskop,part1,p_17,18.0,,,,
source-link-hover-start,source-link,2026-06-27 13:31:53.244809+00,https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re,part2,p_17,,,,,
message-send,chat-input,2026-06-25 16:56:47.905209+00,,part2,p_16,,,Wie lange dauert eine vollständige Rotation der Venus um ihre eigene Achse ungefähr?,,
hover,chat-scroll-bottom-button,2026-06-25 16:46:56.940279+00,,part1,p_16,,,,,
message-send,chat-input,2026-06-25 16:59:06.175899+00,,part2,p_16,,,Wie tief ist das Challenger Deep im Marianengraben ungefähr?,,
source-link-hover-end,source-link,2026-06-25 16:47:05.328791+00,https://www.britannica.com/topic/Halleys-Comet,part1,p_16,16.0,,,,
paste,chat-input,2026-06-25 16:56:47.494137+00,,part2,p_16,,Wie lange dauert eine vollständige Rotation der Venus um ihre eigene Achse ungefähr?,,,
source-link-hover-start,source-link,2026-06-25 16:47:05.608761+00,https://www.britannica.com/topic/Halleys-Comet,part1,p_16,,,,,
paste,chat-input,2026-06-25 16:50:37.210749+00,,part1,p_16,,"Um wie viel gehen GPS-Satellitenuhren netto ungefähr pro Tag schneller als Uhren auf Meereshöhe, wenn relativistische Effekte berücksichtigt werden?",,,
message-send,chat-input,2026-06-25 16:51:56.252567+00,,part2,p_16,,,Welcher exakte Zahlenwert definiert seit der SI-Neudefinition die Planck-Konstante h?,,
paste,chat-input,2026-06-25 16:52:37.343174+00,,part2,p_16,,Welche Zahl gehört zur heutigen SI-Definition der Sekunde über Caesium-133?,,,
paste,chat-input,2026-06-25 16:49:32.974437+00,,part1,p_16,,Welches Produkt wurde 1974 als erstes mit einem UPC-Barcode an einer Supermarktkasse gescannt?,,,
message-send,chat-input,2026-06-25 16:53:12.839153+00,,part2,p_16,,,Beschreibe das Jevons-Paradoxon im Bereich der Energieeffizienz.,,
message-send,chat-input,2026-06-25 16:58:35.442719+00,,part2,p_16,,,"Welchen Durchmesser hat der Primärspiegel des Hubble-Weltraumteleskops?

*",,
paste,chat-input,2026-06-25 16:58:34.810441+00,,part2,p_16,,"Welchen Durchmesser hat der Primärspiegel des Hubble-Weltraumteleskops?

*",,,
message-send,chat-input,2026-06-25 16:52:38.729238+00,,part2,p_16,,,Welche Zahl gehört zur heutigen SI-Definition der Sekunde über Caesium-133?,,
source-link-hover-start,source-link,2026-06-25 16:47:03.347383+00,https://www.britannica.com/topic/Halleys-Comet,part1,p_16,,,,,
copy,message-1782405999259,2026-06-25 16:47:12.281406+00,,part1,p_16,,,,,
source-link-hover-start,source-link,2026-06-25 16:47:12.502098+00,https://www.britannica.com/topic/Halleys-Comet,part1,p_16,,,,,
paste,chat-input,2026-06-25 16:53:12.163699+00,,part2,p_16,,"Beschreibe das Jevons-Paradoxon im Bereich der Energieeffizienz.

",,,
source-link-hover-start,source-link,2026-06-25 16:47:02.797069+00,https://www.britannica.com/topic/Halleys-Comet,part1,p_16,,,,,
paste,chat-input,2026-06-25 16:47:13.201244+00,,part1,p_16,,Wie lange dauert der Flug des Halleyschen Kometen um die Sonne?,,,
message-send,chat-input,2026-06-25 16:40:41.522533+00,,part1,p_16,,,Was ist das Ellsberg-Paradoxon?,,
source-link-hover-end,source-link,2026-06-25 16:47:03.45579+00,https://www.britannica.com/topic/Halleys-Comet,part1,p_16,16.0,,,,
message-send,chat-input,2026-06-25 16:50:37.705176+00,,part1,p_16,,,"Um wie viel gehen GPS-Satellitenuhren netto ungefähr pro Tag schneller als Uhren auf Meereshöhe, wenn relativistische Effekte berücksichtigt werden?",,
hover,highlight-chevron-seg_1619,2026-06-25 16:44:09.281118+00,,part1,p_16,,,,,
new-chat,new-chat-button,2026-06-25 16:46:23.726016+00,,part1,p_16,,,,1.0,
